b"{'ENN', 1738482439.731, -272899, -271238, -269254, -271872, -270856, -270777, -272474, -270404, -271474, -271484, -271425, -273641, -270081, -270078, -271856, -270929, -271138, -268795, -270601, -272072, -271064, -272440, -273363, -270540, -271590}"
b"{'ENZ', 1738482439.731, 3603714, 3604602, 3604522, 3604357, 3604917, 3604183, 3604121, 3604513, 3603947, 3602869, 3603883, 3603858, 3603927, 3604741, 3604033, 3604503, 3605196, 3605090, 3603315, 3604654, 3606376, 3604395, 3604388, 3604577, 3603047}"
b"{'ENE', 1738482439.731, -401443, -400346, -399841, -401108, -401939, -400831, -400373, -400228, -400336, -400216, -399189, -400164, -399839, -398811, -399318, -400201, -401737, -399134, -399535, -401820, -398891, -398624, -400184, -399920, -400336}"
b"{'EHZ', 1738482439.981, 16202, 16185, 16286, 16300, 16343, 16287, 16278, 16241, 16230, 16253, 16282, 16386, 16318, 16289, 16349, 16423, 16379, 16316, 16332, 16224, 16200, 16165, 16163, 16265, 16183}"
b"{'ENN', 1738482439.981, -273467, -269937, -270614, -269471, -269836, -268929, -268483, -271909, -271157, -270348, -270971, -270826, -270624, -271423, -271016, -271931, -272546, -272009, -271035, -272121, -272645, -271542, -270894, -270078, -271148}"
b"{'ENZ', 1738482439.981, 3603191, 3604589, 3603887, 3604717, 3604893, 3603901, 3604510, 3604034, 3604616, 3604214, 3604040, 3604240, 3603875, 3603725, 3603737, 3604254, 3603744, 3604301, 3605334, 3603851, 3603409, 3605044, 3605333, 3604837, 3604332}"
b"{'ENE', 1738482439.981, -400029, -397552, -397593, -398072, -396546, -396966, -398365, -397213, -398234, -399735, -398097, -398821, -400834, -399098, -400319, -401908, -399168, -400706, -399729, -399113, -400881, -400687, -399144, -398202, -401188}"
b"{'EHZ', 1738482440.231, 16164, 16134, 16144, 16235, 16205, 16217, 16312, 16312, 16264, 16385, 16383, 16344, 16279, 16226, 16239, 16278, 16292, 16273, 16336, 16248, 16257, 16233, 16222, 16293, 16232}"
b"{'ENN', 1738482440.231, -271096, -269833, -269383, -270817, -272710, -272301, -271798, -272537, -270657, -269552, -271436, -270481, -270179, -269781, -269606, -269193, -270309, -272203, -268873, -271440, -272344, -270615, -271622, -269952, -271041}"
b"{'ENZ', 1738482440.231, 3604090, 3604639, 3605341, 3603900, 3603788, 3605050, 3604392, 3604088, 3604173, 3604831, 3605197, 3604666, 3604921, 3604380, 3605033, 3605818, 3605067, 3604907, 3603946, 3604102, 3603911, 3603320, 3605189, 3605835, 3604941}"
b"{'ENE', 1738482440.231, -399674, -397198, -397915, -399141, -400495, -400817, -401171, -400607, -401528, -400187, -400166, -402436, -400497, -400310, -400710, -397940, -398494, -400838, -400203, -399963, -399175, -401653, -400520, -399395, -400835}"
b"{'EHZ', 1738482440.481, 16218, 16268, 16328, 16259, 16214, 16296, 16233, 16109, 16261, 16349, 16225, 16241, 16308, 16175, 16214, 16296, 16277, 16285, 16264, 16250, 16155, 16332, 16453, 16357, 16263}"
b"{'ENN', 1738482440.481, -269865, -269341, -271389, -270625, -271515, -270516, -271431, -270894, -270900, -273338, -269784, -272078, -274062, -271320, -271916, -270319, -271970, -273593, -270638, -270819, -269761, -269658, -270704, -271806, -270973}"
b"{'ENZ', 1738482440.481, 3605253, 3603971, 3602931, 3604196, 3604558, 3604068, 3603434, 3603778, 3604113, 3603704, 3604995, 3605074, 3603567, 3604714, 3603911, 3604250, 3605243, 3604424, 3604129, 3603994, 3604567, 3603673, 3604632, 3604494, 3603628}"
